,ContractReviewNumber,SalesOrderText,PartText,Sect1Risk1,Sect1Risk2,Sect1Risk3,Sect1Risk4,Sect1Risk5,Sect2Risk1,Sect2Risk2,Sect2Risk3,Sect2Risk4,Sect2Risk5,Sect3Risk1,Sect3Risk2,Sect3Risk3,Sect3Risk4,Sect3Risk5,Sect4Risk1,Sect4Risk2,Sect4Risk3,Sect4Risk4,Sect4Risk5,Sect5Risk1,Sect5Risk2,Sect5Risk3,Sect5Risk4,Sect5Risk5
0,13114,Sales Order,1TD1135D37419-1007-701,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False
0,13115,Sales Order,1TD1135D37420-1003-701,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,13115,Sales Order,1TD1135D37420-1004-701,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,13121,Sales Order,1TD1135D37313-2003-801,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False
0,13121,Sales Order,1TD1135D37313-2004-801,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,13213,Sales Order,60P5750903M003-01A,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,13314,Sales Order,1TD1135D77215-1003-702,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,13314,Sales Order,1TD1135D77215-1004-702,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False
0,13335,Sales Order,366605-11,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,13336,Sales Order,366605-11,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,13337,Sales Order,366707-3,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,13338,Sales Order,366605-11,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False
0,13339,Sales Order,1TD1367A20524-2003,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,13339,Sales Order,1TD1367A20513-2005,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,13340,Sales Order,1TD1133D07049-2005,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0,13340,Sales Order,1TD1133D07049-2009,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False
0,13341,Sales Order,388174-11,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False
0,13348,Sales Order,1TD13G1A21201-9502,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False
